config,name,latency_min,latency_max,latency_mean,latency_stdev,duration,requests,bytes,req_per_sec,byte_per_sec
"egg@1.5.0, node@v7.10.0","koa1 hello",232.00,83995.00,2479.93,2307.95,10100395,205902,32738418,20385.54,3241300.76
"egg@1.5.0, node@v7.10.0","koa2 hello",165.00,34357.00,1937.62,862.77,10101962,252941,40217619,25038.80,3981169.10
"egg@1.5.0, node@v7.10.0","egg hello",266.00,56964.00,3702.80,1602.54,10100045,131482,46281664,13017.96,4582322.55
"egg@1.5.0, node@v7.10.0","egg hello aa",320.00,53838.00,3649.43,1291.48,10009847,132318,46575936,13218.78,4653011.78
"egg@1.5.0, node@v7.10.0","koa1 view",317.00,72945.00,3892.01,2684.78,10102316,131270,344321210,12994.05,34083393.35
"egg@1.5.0, node@v7.10.0","koa2 view",215.00,65341.00,3730.51,2569.62,10102769,137668,361103164,13626.76,35742989.27
"egg@1.5.0, node@v7.10.0","egg nunjucks view",867.00,77998.00,6617.31,3539.50,10014616,75067,212664902,7495.74,21235452.46
"egg@1.5.0, node@v7.10.0","egg ejs view",442.00,47260.00,6331.10,2733.23,10019703,77273,219841723,7712.10,21940942.06
"egg@1.5.0, node@v7.10.0","egg nunjucks view aa",876.00,78712.00,8309.09,4522.81,10014164,60023,170765655,5993.81,17052412.46
"egg@1.5.0, node@v7.10.0","egg ejs view aa",325.00,58266.00,6157.68,2891.69,10102030,79674,227150611,7886.93,22485640.11
"egg@1.5.0, node@v7.10.0","egg passport",1041.00,97960.00,4439.90,3011.56,10008077,112398,39339309,11230.73,3930756.03
"egg@1.5.0, node@v7.10.0","egg passport aa",385.00,60674.00,4359.85,1903.36,10011035,111982,39641629,11185.86,3959793.27
"egg@1.5.0, node@v8.1.2","koa1 hello",133.00,77650.00,2435.74,2448.15,10102282,219283,34865997,21706.28,3451299.12
"egg@1.5.0, node@v8.1.2","koa2 hello",189.00,44881.00,1865.41,1128.91,10101280,267104,42469536,26442.59,4204371.72
"egg@1.5.0, node@v8.1.2","egg hello",216.00,63150.00,3049.59,1596.13,10102677,161399,56812449,15975.86,5623504.44
"egg@1.5.0, node@v8.1.2","egg hello aa",273.00,32284.00,2986.03,1168.48,10103337,162793,57303136,16112.80,5671703.91
"egg@1.5.0, node@v8.1.2","koa1 view",174.00,75331.00,3732.66,3639.26,10101831,154988,406533524,15342.57,40243548.32
"egg@1.5.0, node@v8.1.2","koa2 view",184.00,171763.00,3837.10,5511.52,10101902,162996,427538508,16135.18,42322575.29
"egg@1.5.0, node@v8.1.2","egg nunjucks view",283.00,116591.00,6669.10,6229.34,10103813,83230,235790918,8237.48,23336825.22
"egg@1.5.0, node@v8.1.2","egg ejs view",602.00,70279.00,5798.08,3911.97,10011610,89655,255068717,8955.10,25477292.56
"egg@1.5.0, node@v8.1.2","egg nunjucks view aa",535.00,50379.00,6201.29,4291.84,10010036,85000,241825358,8491.48,24158290.54
"egg@1.5.0, node@v8.1.2","egg ejs view aa",396.00,38602.00,4604.27,2820.13,10007326,111256,317190948,11117.46,31695874.40
"egg@1.5.0, node@v8.1.2","egg passport",232.00,85820.00,3145.71,2231.36,10103017,159667,55883452,15803.89,5531362.76
"egg@1.5.0, node@v8.1.2","egg passport aa",264.00,43863.00,2891.84,1091.07,10101719,167665,59353410,16597.67,5875575.24
"egg@1.5.0, node@v8.2.0-rc.1","koa1 hello",98.00,46099.00,1822.18,1171.03,10099074,271728,43204752,26906.23,4278090.45
"egg@1.5.0, node@v8.2.0-rc.1","koa2 hello",87.00,29649.00,1678.54,793.84,10099120,290220,46144980,28737.16,4569208.01
"egg@1.5.0, node@v8.2.0-rc.1","egg hello",267.00,42659.00,2838.98,1154.02,10102194,171375,60324000,16964.14,5971376.12
"egg@1.5.0, node@v8.2.0-rc.1","egg hello aa",231.00,29501.00,2759.31,1000.64,10102718,176250,62040000,17445.80,6140921.68
"egg@1.5.0, node@v8.2.0-rc.1","koa1 view",161.00,59953.00,3483.64,3004.91,10103098,159672,418819656,15804.26,41454577.20
"egg@1.5.0, node@v8.2.0-rc.1","koa2 view",238.00,100838.00,3467.15,4352.19,10101712,172741,453099643,17100.17,44853747.86
"egg@1.5.0, node@v8.2.0-rc.1","egg nunjucks view",298.00,80628.00,5840.01,4520.01,10010302,91895,260338873,9180.04,26007094.79
"egg@1.5.0, node@v8.2.0-rc.1","egg ejs view",263.00,71291.00,4635.89,3016.98,10102846,110953,315661385,10982.35,31244798.25
"egg@1.5.0, node@v8.2.0-rc.1","egg nunjucks view aa",293.00,63135.00,5549.95,3983.22,10101256,95762,272443171,9480.21,26971217.34
"egg@1.5.0, node@v8.2.0-rc.1","egg ejs view aa",361.00,48163.00,4466.18,2621.84,10103481,114170,325498721,11300.07,32216492.61
"egg@1.5.0, node@v8.2.0-rc.1","egg passport",844.00,65606.00,3128.59,1774.30,10103992,158363,55427050,15673.31,5485658.54
"egg@1.5.0, node@v8.2.0-rc.1","egg passport aa",202.00,29186.00,2775.25,995.52,10099095,174028,61605912,17232.04,6100141.84
"egg@1.5.0, node@v9.0.0-nightly201706223e178848a5","koa1 hello",239.00,52303.00,2082.67,1331.80,10101437,240606,38256354,23818.99,3787218.99
"egg@1.5.0, node@v9.0.0-nightly201706223e178848a5","koa2 hello",114.00,34568.00,1818.68,1048.18,10101420,272522,43330998,26978.58,4289594.73
"egg@1.5.0, node@v9.0.0-nightly201706223e178848a5","egg hello",215.00,48017.00,2956.91,1398.85,10103404,165892,58393985,16419.42,5779634.76
